legitimate,level,lemma
True,A2,заслужить
True,A2,ориентированный
False,A2,привышать
True,A2,заключить
True,A2,приход
True,A2,призывание
True,A2,опечатать
True,A2,устроиться
True,B1,записывать
False,B1,сочищенный
False,B1,бараш
True,B1,приветствовать
True,B1,отправитель
True,B1,заехать
True,B1,составиться
False,B1,заплачивать
True,B1,отстраиваться
True,B1,перерабатываться
True,B1,замолчать
True,B1,создание
True,B1,прохладный
False,B1,выступиться
True,B1,безумно
False,B1,придушно
True,B1,настав
True,B1,замерзнуть
False,B1,устрелаться
False,B1,написываться
True,B1,достойный
False,B1,выседать
True,B1,подливание
False,B1,увергать
True,B1,выбор
False,B1,неябность
True,B1,зарисоваться
True,B1,мелко
True,B1,натаскивать
True,B1,оттягивать
False,B1,посред
True,B1,сдавить
True,B1,выключать
True,B1,забавляться
False,B1,пошля
True,B1,летать
True,B1,привязываться
True,B1,позвонить
True,B1,отливание
False,B1,захлоп
True,B1,высылать
True,B1,подползать
False,B1,подверить
True,B1,подключать
False,B1,проблевать
True,B1,прочеркивать
False,B1,бараль
True,B1,посредственный
True,B1,откусить
False,B1,самолетать
False,B1,подложение
True,B1,усохнуть
False,B1,поглость
True,B1,выключаться
True,B1,подтянуться
False,B1,ускочить
True,B1,засекретить
True,B1,застирать
True,B1,приучить
True,B1,отступление
False,B1,забытие
True,B1,натягивать
False,B1,отявить
True,B1,пригревать
False,B1,приливание
True,B1,безмолвный
True,B1,наполнять
True,B1,подтягивать
True,B1,подыскание
True,B1,наломать
True,B1,небрежный
False,B1,космотри
True,B2,загадать
True,B2,простудить
False,B2,вырашивать
False,B2,ошивка
True,B2,заворошить
True,B2,прилетать
True,B2,заграничный
True,B2,отсылать
True,B2,забавить
True,B2,утвердить
True,B2,умывание
True,B2,заботиться
False,B2,подмереть
True,B2,улежать
False,B2,акурор
False,B2,копистый
False,B2,развергать
True,B2,приземной
False,B2,матро
False,B2,усылкивать
True,B2,охладить
True,B2,упросить
False,B2,офиологический
True,B2,попроситься
True,B2,описываться
False,B2,прогности
True,B2,задернуть
True,B2,посудить
True,B2,загладить
True,B2,приучиться
True,B2,сосредоточение
False,B2,чечела
False,B2,провергать
True,B2,придуматься
True,B2,убытие
True,B2,наладить
False,B2,нечесать
True,B2,угнетать
True,B2,изготовить
True,B2,перечислять
True,B2,отлетать
True,B2,расшибать
True,B2,многозначный
False,B2,акурологический
False,B2,приторить
True,B2,отлепить
True,B2,выселить
False,B2,ософ
True,B2,перепугаться
False,B2,неправдомый
True,B2,заступить
True,B2,безусловный
True,B2,паль
False,B2,оформенный
False,B2,небожно
True,B2,вылетать
False,B2,выраживать
True,B2,улетать
True,B2,уклонение
True,B2,переслать
True,B2,учесать
False,B2,неестество
True,B2,избранный
False,B2,ассимизм
False,B2,похватывать
False,B2,разъедитель
True,B2,выпроситься
True,B2,наламывать
True,B2,лап
True,B2,приветной
True,B2,засолить
True,B2,пролетать
False,B2,нахляемость
False,B2,резовский
False,B2,безболезность
True,B2,зарубить
True,B2,призыв
False,C1,элеризация
True,C1,понудить
False,C1,остерить
True,C1,заградить
True,C1,погрузить
False,C1,одумывать
False,C1,небренный
False,C1,девля
True,C1,осушить
False,C1,шарлык
True,C1,примерзнуть
False,C1,зачетать
True,C1,наползать
True,C1,вымокнуть
True,C1,разгладить
False,C1,обвидеть
False,C1,офила
True,C1,необычность
True,C1,попереть
False,C1,привергать
False,C1,раздрадить
True,C1,подвешивать
True,C1,вымазать
True,C1,подсудный
False,C1,неговаривать
True,C1,подыскать
True,C1,настоять
True,C1,впереть
False,C1,нехоронить
True,C1,уплотнение
True,C1,проседать
True,C1,прикладываться
True,C1,оплачивать
True,C1,оплеснуть
True,C1,зажигать
False,C1,застоять
True,C1,брон
True,C1,притаскивать
True,C1,отучиться
True,C1,заплевывать
True,C1,размазать
False,C1,ассоцировать
True,C1,отрез
True,C1,прилив
True,C1,перегружать
True,C1,выслать
True,C1,подхлестывать
False,C1,прогородить
True,C1,припугнуть
True,C1,осудить
True,C1,придавливать
True,C1,причитать
True,C1,забросить
False,C1,соцать
False,C1,печевский
True,C1,подрастить
True,C1,погребать
True,C1,припутать
True,C1,приземлять
False,C1,припадение
False,C1,угромлять
True,C1,загребать
True,C1,прилиться
False,C1,запорыться
True,C1,сосредоточить
False,C1,небреть
True,C1,ощущение
True,C1,захватывать
False,C1,достопание
False,C1,зарошить
False,C1,подраживаться
False,C1,заимчивый
True,C1,припадать
True,C1,переключаться
True,C1,огладить
False,C1,закрушить
True,C1,засохнуть
False,C2,красистый
False,C2,подпок
True,C2,прописываться
False,C2,аританский
False,C2,неизвиснуть
False,C2,саморегулизовать
False,C2,массоциализация
True,C2,вываливать
True,C2,погадать
False,C2,нелеменно
True,C2,пошлятина
False,C2,насмешной
True,C2,умазать
False,C2,нелегоно
True,C2,уборщик
False,C2,дереватор
False,C2,сородочно
True,C2,подсушить
False,C2,полуболетие
True,C2,подсаживаться
True,C2,отпихивать
True,C2,примазать
False,C2,неизлетие
False,C2,самфа
True,C2,примазаться
False,C2,покнус
True,C2,подлечить
False,C2,пойжировать
False,C2,абриминальный
True,C2,замучиться
True,C2,охотный
True,C2,замучить
True,C2,застелить
False,C2,лабута
True,C2,заползать
False,C2,истеристический
True,C2,прилично
True,C2,усылаться
True,C2,постегивать
False,C2,нестройство
False,C2,массорный
True,C2,бездушно
True,C2,напитать
True,C2,вписываться
True,C2,зажимать
False,C2,промпанный
False,C2,догнутый
True,C2,привесить
True,C2,подрастать
False,C2,встрелить
True,C2,затушить
False,C2,пришливание
True,C2,неблагоприятный
True,C2,оглашать
False,C2,упромышленный
True,C2,конструкция
True,C2,прохладно
True,C2,подсекать
False,C2,пошляризация
True,C2,застояться
True,C2,переполнять
False,C2,неблагода
True,C2,припухать
True,C2,замыкать
True,C2,отселить
True,C2,отжимать
True,C2,инициация
True,C2,офик
False,C2,неленично
False,C2,неисточник
True,C2,нечистоплотный
False,C2,достовер
True,C2,прижимать
True,C2,неизмеримый
False,C2,заворохать
True,C2,отсекать
False,C2,заброситься
True,C2,поглотить
True,C2,закидывать
True,C2,необычный
True,C2,вжимать
False,C2,прилиять
False,C2,заровливаться
True,C2,прибытие
False,C2,подложиться
True,C2,приземление
True,C2,пристраиваться
False,C2,привидеть
True,C2,припуститься
True,C2,засовывать
False,C2,примаяться
True,C2,присушить
